TIME, DESCRIPT
3:05,a coleta de 40 menores de prata ou Tang
3:08,sênio e 15 minérios de ferro ou chumbo
3:10,você os derreta numa Fornalha que é
3:12,feita com pedras e tochas numa bancada
3:14,de trabalho
3:17,[Música]
3:18,e com cinco ferros faça uma bigorna na
3:21,mesma bancada com a bigorna faça uma
3:24,picareta de prata e não se esqueça de
3:25,pegar tanta Fornalha quanto a bigorna de
3:27,volta e com isso você irá minerar mais
3:30,rápido agora tem que coletar um total de
3:32,350 milhares de prata ou Tang sênio ou
3:35,então 430 minérios de ouro ou platina
3:37,para concluir armadura de vocês e as
3:40,ferramentas também colete no mínimo 15
3:42,gemas do mesmo tipo eu recomendo coletar
3:45,Esmeralda Safira Rubi ou diamante mas
3:47,Ametista topaz também servirão também é
3:50,importante aumentar sua barra de vida
3:52,para isso colete corações nas cavernas e
3:54,apenas consuma eles agora sobre os
3:57,acessórios você irá encontrá-los em baús
3:59,de ouro nas cavernas os principais
4:01,acessórios para enfrentar o primeiro
4:02,Boys são a borda de Hermes e a nuvem na
4:05,garrafa mas eu recomendo tentar
4:07,encontrar a pulseira da Regeneração e o
4:09,espelho mágico que permitirá vocês
4:11,teletransportar para o seu Spawn E caso
4:13,encontre o muro suspeito em algum baú
4:14,não jogue fora guarde outra coisa que é
4:17,necessário avisar é sobre as armadilhas
4:19,há uma chance de você encontrar um baú
4:21,como esse Mas é bem simples escapar dele
4:23,cabe por baixo e quebre todas as
4:26,dinamites normalmente são três que ficam
4:28,embaixo Pronto agora você consegue abrir
4:31,o baú e pegar o que tem nele as outras
4:34,armadilhas possíveis de serem
4:35,encontradas são agitardos as de pedras
4:38,rolantes e as de status de invocação
4:40,sempre próximo a elas a uma placa de
4:42,pressão que as ativam para evitá-las
4:44,colete uma armadilha de dardo que você
4:45,provavelmente avistou e antes com ela
4:48,selecionada na hotbar não se esquece de
4:50,quebrar qualquer pote que veja no
4:51,caminho pois tem uma chance de você
4:53,conseguir uma porção de gravitação e ela
4:55,será muito útil depois de terminar a
4:57,mineração utilize o seu espelho mágico
4:59,ou então a porção de retorno para voltar
5:01,ao Spawn
5:03,[Música]
5:07,coloque essa Fornalha e bigor no chão e
5:10,derreta todos os seus minérios caso
5:12,tenha mais de 75 barras de ouro ou
5:15,platina façam armadura de ouro ou
5:16,platina Mas se não tiver 75 Barras e
5:19,tivesse 60 barras de prata ou Tang
5:21,Stenio faça uma armadura de prato Tang
5:23,sênio com que sobrar faça o melhor arco
5:25,possível e as melhores ferramentas que
5:27,você conseguir no momento e com as 15
5:29,gemas do mesmo tipo que você coletou
5:31,faça o seu primeiro gancho ele ajudará
5:34,muito na movimentação e a enfrentar
5:36,qualquer Boys também faça Flechas comuns
5:38,e com o Mercador compre tochas e
5:40,transforma essas Flechas em Flechas
5:42,flamejantes a partir daí Toma essa
5:44,porção de gravitação pegue velocidade
5:45,correndo na superfície e Aperte para
5:47,cima ou w do seu teclado para inverter a
5:50,gravidade do seu personagem fica
5:52,terminando a direção de queda sempre
5:53,apertando para cima até encontrar sua
5:55,primeira Ilha flutuante Lembrando que
5:57,existem dois tipos de ilhas as que
5:59,contém baús e as ilhas de pesca caso a
6:02,sua primeira Ilha seja uma que contém a
6:03,baú ótimo apenas colete os itens dela o
6:06,que você está buscando nas ilhas
6:08,flutuantes são o balão vermelho e a
6:10,ferradura da sorte e se tiver mais sorte
6:12,ainda uma asa de iniciante Lembrando que
6:14,é uma porção de gravitação para cada
6:16,lado do seu mapa
6:22,da sua casa e construir um andar com
6:24,plataformas também coloca fogueiras na
6:27,sua extremidade e no centro e na parte
6:28,da Grama coloque logo abaixo das
6:30,fogueiras Girassóis ele vai diminuir o
6:32,esposo de monstros e aumentará a sua
6:34,velocidade de movimento
6:35,[Música]
6:39,para invocar o seu primeiro Boss existe
6:41,duas formas quando completar essa barra
6:43,de vida possui uma defesa acima de 10 e
6:45,tem no mínimo 4 npcs espalnados tem uma
6:48,chance de 33% de aparecer no chat no
6:50,início da noite a seguinte frase você
6:52,sente o olhar de uma presença maligna
6:54,Mas você também pode encontrar o olho
6:55,suspeito em baús de ouro nas cavernas e
6:58,graças a ele você consegue invocar o
7:00,olho de cutilo e assim enfrentar você
7:01,primeiro Boys
7:06,A Batalha Contra o Olho é muito fácil na
7:09,sua primeira forma basta correr de um
7:11,lado para o outro atirando Flechas nele
7:13,e nos seus minions no momento da sua
7:15,transformação para a segunda forma ele
7:17,irá soltar diversos olhinhos de um lado
7:19,para o outro e destrua todos
7:22,agora é só focar no boys até mais ou
7:24,menos os 35 de vida dele ele dá apenas
7:27,avançar lentamente em sua geração mas
7:29,depois disso ele irá aumentar sua Fúria
7:31,e começar a dar rasantes mais rápidos
7:33,sempre Tente se manter correndo alternar
7:36,em geração apenas após a conclusão da
7:38,animação dele e nos momentos finais da
7:40,sua vida ele irá Coringa de vez apenas
7:42,se mantenha ocorrendo mesmo que ele te
7:44,acerte e fica tirando Flechas até que
7:46,ele vai de f
7:47,e pronto É assim que se inicia no
7:50,terraria caso tenha te ajudado não se
7:52,esqueça de deixar o like e um comentário
7:53,para ajudar o vídeo muito obrigado a
7:55,quem assistiu até a próxima fui
7:59,[Música]
TIME, DESCRIPT
0:01,está buscando uma forma de entender como
0:03,se inicia nesse jogo e o meu desafio é
0:05,fazer você entendeu necessário de uma
0:07,forma simples direta e rápida Lembrando
0:09,que cada mapa é diferente tente adaptar
0:11,o que eu falar aqui ao seu mundo agora
0:13,sem enrolação Vamos para o vídeo
0:19,para a criação de seu personagem Eu
0:21,recomendo que joga no modo clássico o
0:23,madcore ao ID base ou seus itens irão
0:25,dropar e o Hardcore você só tem uma vida
0:27,e no caso do modo jornada eu dedicarei
0:30,um vídeo somente para Ele já para o seu
0:32,mundo eu recomendo um de tamanho médio a
0:34,dificuldade no perito pois os Boss
0:35,dropam acessórios exclusivos e que o
0:38,bioma maligno seja o carmim mas para
0:39,esse vídeo a escolha do bioma maligno
0:42,não influenciará muito e como chegamos
0:44,aqui vou tentar falar de uma maneira um
0:46,pouco menos acelerada
0:47,[Música]
0:51,o primeiro dia é definido pela
0:53,exploração da superfície de primeiro
0:55,momento marca a localização do Seu
0:57,principal e será bastante importante no
0:58,final do dia em seguida explore tanto a
1:01,esquerda do seu mapa quanto à direita
1:02,dele tente contra baús de madeira e casa
1:05,encontram uma árvore gigante melhor
1:06,ainda Explorer ela toda
1:12,Aproveite também para coletar Girassóis
1:14,e acabar com alguns slimes
1:18,quando encontrar o deserto colete cactos
1:21,Eles serão úteis para fazer uma armadura
1:22,que reflete dando tomado E caso seu
1:25,background começa a ficar avermelhado ou
1:27,Violeta está na hora de trocar a direção
1:29,depois colete bastante madeira e
1:31,construa uma casa para você e o guia e
1:33,mais dois npcs a construção da casa é
1:35,bastante simples faça ela em volta do
1:37,seu Spawn pois Toda vez que você
1:39,retornar estará seguro as paredes devem
1:41,possuir uma altura de 6 blocos acima da
1:43,base e na altura do 6º bloco você
1:45,completa o teto faça uma casa espaçosa
1:47,para que os npcs fiquem confortáveis
1:49,também construa uma bancada de trabalho
1:51,no seu inventário e a coloque no chão
1:53,fique próxima bancada Craft uma cadeira
1:55,e também a coloque também faça paredes
1:58,na bancada de trabalho e preenche o
2:00,fundo com elas
2:01,[Música]
2:03,para fazer tochas no seu inventário e
2:05,coloque ela na parede e no final põe
2:08,duas portas nas entradas
2:10,Por demais npcs construiu a casa deles
2:12,acima da sua e com a casa construída
2:14,vamos para mineração
2:16,[Música]
2:19,caso ainda esteja dia e tem encontrado
2:22,uma abertura como essa na superfície
2:24,siga por ela para entrar nas cavernas
2:25,agora se já estiver de noite cabe para
2:28,baixo e faça plataformas no seu
2:30,inventário para tapar o chão e o que não
2:32,cair e siga cavando para baixo o que
2:34,você irá coletar serão minérios corações
2:36,e acessórios para entender A Hierarquia
2:39,dos Minérios temos que entender as
2:40,possíveis gerações o mundo pode gerar
2:42,cobre ou estanho ferro ou chumbo prata
2:45,ou Tang sênio e ouro ou platina e o
2:48,nível de cada minério está em ordem
2:49,nessa tabela junto com a sua eficiência
2:51,o que você irá coletar de minérios são
2:54,os que estão a partir do Tier 2
2:55,Lembrando que caso encontre ferro não
2:57,terá chumbo no seu mundo o mesmo ocorre
2:59,ao contrário e paro de mais minérios com
3:01,a sua picareta Inicial você pode quebrar
3:03,qualquer mineral mas recomendo que após
3:05,a coleta de 40 menores de prata ou Tang
3:08,sênio e 15 minérios de ferro ou chumbo
3:10,você os derreta numa Fornalha que é
3:12,feita com pedras e tochas numa bancada
3:14,de trabalho
3:17,[Música]
3:18,e com cinco ferros faça uma bigorna na
3:21,mesma bancada com a bigorna faça uma
3:24,picareta de prata e não se esqueça de
3:25,pegar tanta Fornalha quanto a bigorna de
3:27,volta e com isso você irá minerar mais
3:30,rápido agora tem que coletar um total de
3:32,350 milhares de prata ou Tang sênio ou
3:35,então 430 minérios de ouro ou platina
3:37,para concluir armadura de vocês e as
3:40,ferramentas também colete no mínimo 15
3:42,gemas do mesmo tipo eu recomendo coletar
3:45,Esmeralda Safira Rubi ou diamante mas
3:47,Ametista topaz também servirão também é
3:50,importante aumentar sua barra de vida
3:52,para isso colete corações nas cavernas e
3:54,apenas consuma eles agora sobre os
3:57,acessórios você irá encontrá-los em baús
3:59,de ouro nas cavernas os principais
4:01,acessórios para enfrentar o primeiro
4:02,Boys são a borda de Hermes e a nuvem na
4:05,garrafa mas eu recomendo tentar
4:07,encontrar a pulseira da Regeneração e o
4:09,espelho mágico que permitirá vocês
4:11,teletransportar para o seu Spawn E caso
4:13,encontre o muro suspeito em algum baú
4:14,não jogue fora guarde outra coisa que é
4:17,necessário avisar é sobre as armadilhas
4:19,há uma chance de você encontrar um baú
4:21,como esse Mas é bem simples escapar dele
4:23,cabe por baixo e quebre todas as
4:26,dinamites normalmente são três que ficam
4:28,embaixo Pronto agora você consegue abrir
4:31,o baú e pegar o que tem nele as outras
4:34,armadilhas possíveis de serem
4:35,encontradas são agitardos as de pedras
4:38,rolantes e as de status de invocação
4:40,sempre próximo a elas a uma placa de
4:42,pressão que as ativam para evitá-las
4:44,colete uma armadilha de dardo que você
4:45,provavelmente avistou e antes com ela
4:48,selecionada na hotbar não se esquece de
4:50,quebrar qualquer pote que veja no
4:51,caminho pois tem uma chance de você
4:53,conseguir uma porção de gravitação e ela
4:55,será muito útil depois de terminar a
4:57,mineração utilize o seu espelho mágico
4:59,ou então a porção de retorno para voltar
5:01,ao Spawn
5:03,[Música]
5:07,coloque essa Fornalha e bigor no chão e
5:10,derreta todos os seus minérios caso
5:12,tenha mais de 75 barras de ouro ou
5:15,platina façam armadura de ouro ou
5:16,platina Mas se não tiver 75 Barras e
5:19,tivesse 60 barras de prata ou Tang
5:21,Stenio faça uma armadura de prato Tang
5:23,sênio com que sobrar faça o melhor arco
5:25,possível e as melhores ferramentas que
5:27,você conseguir no momento e com as 15
5:29,gemas do mesmo tipo que você coletou
5:31,faça o seu primeiro gancho ele ajudará
5:34,muito na movimentação e a enfrentar
5:36,qualquer Boys também faça Flechas comuns
5:38,e com o Mercador compre tochas e
5:40,transforma essas Flechas em Flechas
5:42,flamejantes a partir daí Toma essa
5:44,porção de gravitação pegue velocidade
5:45,correndo na superfície e Aperte para
5:47,cima ou w do seu teclado para inverter a
5:50,gravidade do seu personagem fica
5:52,terminando a direção de queda sempre
5:53,apertando para cima até encontrar sua
5:55,primeira Ilha flutuante Lembrando que
5:57,existem dois tipos de ilhas as que
5:59,contém baús e as ilhas de pesca caso a
6:02,sua primeira Ilha seja uma que contém a
6:03,baú ótimo apenas colete os itens dela o
6:06,que você está buscando nas ilhas
6:08,flutuantes são o balão vermelho e a
6:10,ferradura da sorte e se tiver mais sorte
6:12,ainda uma asa de iniciante Lembrando que
6:14,é uma porção de gravitação para cada
6:16,lado do seu mapa
6:22,da sua casa e construir um andar com
6:24,plataformas também coloca fogueiras na
6:27,sua extremidade e no centro e na parte
6:28,da Grama coloque logo abaixo das
6:30,fogueiras Girassóis ele vai diminuir o
6:32,esposo de monstros e aumentará a sua
6:34,velocidade de movimento
6:35,[Música]
6:39,para invocar o seu primeiro Boss existe
6:41,duas formas quando completar essa barra
6:43,de vida possui uma defesa acima de 10 e
6:45,tem no mínimo 4 npcs espalnados tem uma
6:48,chance de 33% de aparecer no chat no
6:50,início da noite a seguinte frase você
6:52,sente o olhar de uma presença maligna
6:54,Mas você também pode encontrar o olho
6:55,suspeito em baús de ouro nas cavernas e
6:58,graças a ele você consegue invocar o
7:00,olho de cutilo e assim enfrentar você
7:01,primeiro Boys
7:06,A Batalha Contra o Olho é muito fácil na
7:09,sua primeira forma basta correr de um
7:11,lado para o outro atirando Flechas nele
7:13,e nos seus minions no momento da sua
7:15,transformação para a segunda forma ele
7:17,irá soltar diversos olhinhos de um lado
7:19,para o outro e destrua todos
7:22,agora é só focar no boys até mais ou
7:24,menos os 35 de vida dele ele dá apenas
7:27,avançar lentamente em sua geração mas
7:29,depois disso ele irá aumentar sua Fúria
7:31,e começar a dar rasantes mais rápidos
7:33,sempre Tente se manter correndo alternar
7:36,em geração apenas após a conclusão da
7:38,animação dele e nos momentos finais da
7:40,sua vida ele irá Coringa de vez apenas
7:42,se mantenha ocorrendo mesmo que ele te
7:44,acerte e fica tirando Flechas até que
7:46,ele vai de f
7:47,e pronto É assim que se inicia no
7:50,terraria caso tenha te ajudado não se
7:52,esqueça de deixar o like e um comentário
7:53,para ajudar o vídeo muito obrigado a
7:55,quem assistiu até a próxima fui
7:59,[Música]
